企业利润,平台利润,消费者总效益,flag
6934.48,2286.32,32888.91,0
6302.15,4258.78,33861.06,0
7800.95,2753.09,41566.46,0
6864.16,1758.8,35344.86,0
5521.88,4765.3,34104.42,0
6971.82,2244.81,33534.79,0
5999.74,2964.62,37953.26,0
9365.12,2366.9,32805.95,0
7896.8,2173.19,51611.74,0
7066.34,1842.56,48087.21,0
5511.58,4629.6,29113.4,0
7888.6,2563.08,46217.16,0
10314.46,1913.22,32538.65,0
5922.83,2177.38,33817.61,0
9348.08,2077.77,50511.18,0
5975.3,4337.57,25346.42,1
8816.03,3228.0,37821.37,0
7388.88,2876.64,32207.58,0
7928.94,2637.03,44477.6,0
6115.56,3167.9,42918.45,0
5231.45,2548.24,38167.76,0
4689.29,3987.98,38212.03,0
6370.92,565.94,34305.37,1
6772.98,2779.21,33059.94,0
7378.88,4468.11,44769.48,0
10807.4,2301.59,45806.46,0
9011.57,2027.33,50322.69,0
5999.28,2212.12,31441.75,0
5832.99,2106.11,40562.12,0
9964.9,1817.23,39338.51,0
7535.8,2906.55,36176.34,0
2983.93,4946.75,44019.04,0
7412.8,2411.57,30719.07,0
9503.84,1456.9,29201.91,0
9821.83,2043.15,30494.44,0
6014.04,2157.94,26984.15,1
8158.85,2271.49,47787.37,0
9056.95,1799.46,41474.75,0
9160.87,2380.06,43146.42,0
9874.86,1682.14,24328.41,1
8290.87,1907.07,40826.79,0
6627.78,2987.44,37352.89,0
5246.27,2620.98,39862.71,0
9688.8,2535.09,42062.11,0
8931.38,2209.99,31550.16,0
9752.19,2047.49,35962.37,0
8085.56,2404.3,32642.7,0
8258.71,1975.86,52241.21,0
9714.36,2085.59,37628.31,0
7477.32,1951.59,27906.95,0
10562.22,1759.31,29922.05,0
9255.88,1884.76,29687.2,0
10132.57,1750.45,28616.56,0
7364.74,2087.41,50599.54,0
9933.76,2209.4,28367.04,0
10301.61,1866.65,29097.84,0
6202.58,2649.1,58671.73,0
7047.68,2715.54,34733.73,0
5547.58,1747.46,33319.08,1
6624.81,2273.68,31381.2,0
8582.63,2284.04,38434.86,0
3666.06,5435.13,49588.59,0
5889.86,1748.94,40532.22,0
6663.39,2714.91,29548.31,0
10016.13,2006.5,37752.31,0
8921.43,2076.58,28094.06,0
5393.43,1525.14,45790.3,0
8166.94,2212.58,51777.93,0
11160.43,1754.76,43914.29,0
2111.41,5016.46,57657.17,0
6445.17,1875.13,37242.25,0
6675.39,2636.3,54954.99,0
10094.24,2472.21,30446.44,0
3115.85,4096.3,52897.79,0
9035.22,3811.71,43613.62,0
6332.28,2542.22,42079.51,0
6516.15,2250.5,50387.19,0
10244.73,2454.81,38957.58,0
7182.98,4594.89,49569.33,0
6979.39,2430.47,33806.35,0
7514.39,1928.99,43366.94,0
5986.44,1830.08,39520.25,0
8715.05,1953.37,32362.36,0
7763.37,1890.27,32679.33,0
8563.15,3027.8,43289.04,0
6882.62,2918.85,32821.31,0
5810.68,5747.4,47111.28,0
7408.99,1563.37,27343.97,1
5193.9,5625.3,50961.39,0
6978.5,2504.84,47488.77,0
5282.56,3196.4,45453.11,0
7985.03,2612.73,35223.78,0
9007.24,2392.32,29460.82,0
4498.3,4190.87,38467.62,0
9901.06,1705.44,29777.19,0
5823.02,2250.74,46536.3,0
7340.57,1959.13,31859.84,0
5741.79,1731.46,38676.19,0
8827.0,2495.41,37261.5,0
9694.11,2123.36,44475.41,0
9852.23,1796.6,34330.88,0
2523.33,3762.47,42184.49,0
7247.99,1919.68,29523.16,0
6610.08,2294.84,35789.97,0
5472.94,2695.99,48577.33,0
6294.24,3560.36,54081.53,0
4798.31,3714.88,54972.8,0
3094.19,6545.28,34439.61,0
10571.08,1940.46,43411.81,0
6458.11,1988.46,34339.6,0
10491.85,1831.61,46566.14,0
8800.75,2460.53,46999.8,0
7537.23,2820.21,45985.02,0
4002.36,7122.78,49096.8,0
8653.84,3114.17,46264.56,0
6742.99,2688.57,42724.6,0
8463.91,3535.51,47464.71,0
6028.42,2406.04,59828.98,0
10463.69,2690.76,47065.31,0
7112.73,2218.32,56303.42,0
6684.48,2056.39,50215.62,0
3032.04,5005.38,30075.99,1
9839.73,2469.22,29686.36,0
7862.69,2523.44,29767.9,0
4219.37,2842.79,57993.95,0
6855.93,2828.9,28116.2,0
9153.44,1938.33,39266.37,0
10364.82,1779.68,32500.18,0
9045.44,1855.39,40375.47,0
9187.14,2289.05,43889.09,0
