企业利润,平台利润,消费者总效益
4707.074392,3847.223375,62294.22656
8452.269767,549.4668251,67568.57452
8231.485201,3061.106677,60910.84117
9844.605692,4677.438791,50356.6348
3512.748377,7602.248885,56931.28022
7150.905392,6675.432255,51003.579
6482.537412,2437.513561,67798.67133
9866.187477,-1059.089573,57549.32237
5986.041219,4467.36244,57603.69226
6445.075751,7097.234194,29691.48546
6863.737445,6917.523249,34815.20429
2115.191631,4845.879211,64526.64991
8520.356799,2574.047132,60780.45674
3492.237517,6808.85325,58015.93267
10922.05437,4008.731698,49206.21345
11154.18998,2221.118329,49132.13471
8163.55367,5701.574786,53520.78531
10554.48134,4358.454073,49454.1934
10828.64225,3366.954882,49245.35937
9150.785172,-2268.620024,67108.77068
11132.86158,4462.437214,38238.15687
6568.047216,3349.913077,61311.40833
10366.43855,5317.824669,38946.62707
3278.142464,4027.658984,63240.83283
5929.055499,5455.310283,56958.4726
5276.449933,3366.527367,61685.25775
8442.827644,3169.833032,57200.32009
9907.279419,5777.807304,39454.6539
8540.084339,-2466.434024,68645.69278
4847.572403,5668.638361,57577.5768
7610.289333,2753.183866,61783.65858
2981.569137,7649.27634,44055.65868
6118.800845,6243.978603,54564.16924
10660.52008,5196.835934,48658.05537
8464.145785,3535.596295,53849.16521
2527.523053,4981.462886,63283.97704
5433.210967,7044.187138,54746.43978
9327.885667,641.5879776,60889.80273
4711.090366,7169.094112,57010.94347
1544.668711,2421.654624,70424.31076
10750.57042,2283.965938,51125.49048
2549.783575,5388.334685,61945.44195
7808.997251,2603.445363,63412.73168
8629.916748,1891.643628,63126.43975
9724.114788,-1684.920169,63760.26363
2492.700289,5879.586997,61841.42726
9208.322148,6051.403881,40051.70629
